nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
Gereja Kristen Indonesia - GKI Sion Tasikmalaya,Gereja Kristen,"Jl. Tentara Pelajar No.8, Nagarawangi, Kec. Cihideung, Kab. Tasikmalaya, Jawa Barat 46124",Tutup,"4,6",16,"
0852-3232-3018",Ada,Tidak Tersedia,-7.3343105,108.2196106,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']"
Gereja Kristen Indonesia (GKI) Veteran Tasikmalaya,Gereja Kristen,"Jl. Veteran No.49, Nagarawangi, Kec. Cihideung, Kab. Tasikmalaya, Jawa Barat 46121",08.00 hingga 19.00,"4,9",42,"
(0265) 330106",Ada,Tidak Tersedia,-7.3313175,108.2162786,Aksesibilitas Tersedia,"['Memiliki kursi khusus pengguna kursi roda', 'Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
Gereja Gerakan Pentakosta Eben Haezer,Gereja Pantekosta,"Jl. RAA. Wiratanuningrat No.14, Empangsari, Kec. Tawang, Kab. Tasikmalaya, Jawa Barat 46113",Tutup,"4,9",7,,Ada,Tidak Tersedia,-7.3247691,108.2247255,Aksesibilitas Tersedia,[]
GPdI Tasikmalaya,Gereja Pantekosta,"Jl. Panyerutan No.10, Nagarawangi, Kec. Cihideung, Kab. Tasikmalaya, Jawa Barat 46124",Tutup,"4,9",18,"
(0265) 332391",Ada,Tidak Tersedia,-7.3326725,108.2200762,Aksesibilitas Tersedia,[]
GKIm Ka Im Tong Tasikmalaya,Gereja Kristen,"Jl. Mayor Utarya No.11, Empangsari, Kec. Tawang, Kab. Tasikmalaya, Jawa Barat 46113",,"4,8",14,,Tidak Ada ,Tersedia,-7.3271982,108.223036,Aksesibilitas Tersedia,[]
GEREJA BETH-EL TABERNAKEL,Gereja,"Jl. Veteran No.72, Cilembang, Kec. Cihideung, Kab. Tasikmalaya, Jawa Barat 46124",Tutup,"5,0",11,,Tidak Ada ,Tidak Tersedia,-7.332716,108.2151515,Aksesibilitas Tersedia,[]
Gereja Bethel Indonesia,Gereja,"Jl. Tentara Pelajar No.19, Tawangsari, Empangsari, Kec. Tawang, Kab. Tasikmalaya, Jawa Barat 46124",Tutup,"4,8",90,,Ada,Tersedia,-7.3278967,108.2244648,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
GBI Empangsari,Gereja,"M6CC+3XJ, Jl. Empang Sari, Empangsari, Kec. Tawang, Kab. Tasikmalaya, Jawa Barat 46113",,"4,9",62,,Tidak Ada ,Tidak Tersedia,-7.3297955,108.2223993,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']"
"Gereja Katolik Paroki Hati Kudus Yesus, Tasikmalaya",Gereja Katolik,"Jl. Sutisna Senjaya No.50, Empangsari, Kec. Tawang, Kab. Tasikmalaya, Jawa Barat 46113","08.00 hingga 12.00,16.00 hingga 19.00","4,8",184,,Ada,Tersedia,-7.3278278,108.227521,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
Gereja Kristen Indonesia - GKI Sion Tasikmalaya,Gereja Kristen,"Jl. Tentara Pelajar No.8, Nagarawangi, Kec. Cihideung, Kab. Tasikmalaya, Jawa Barat 46124",Tutup,"4,6",16,"
0852-3232-3018",Ada,Tidak Tersedia,-7.3343105,108.2196106,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Agung Kota Tasikmalaya,Masjid,"Jl. Mesjid Agung No.01, Yudanagara, Kec. Tawang, Kab. Tasikmalaya, Jawa Barat 46121",Buka 24 jam,"4,8",10.988,,Tidak Ada ,Tidak Tersedia,-7.3261021,108.2199555,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
Situs Lingga Yoni Indihiang,Pura,"P54Q+46P, Jl. Letnan Harun, Sukamajukidul, Kec. Indihiang, Kab. Tasikmalaya, Jawa Barat 46151",07.30 hingga 16.00,"4,5",13,"
0852-1610-3800",Ada,Tidak Tersedia,-7.2946649,108.1880701,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Pura Sukapura Pasundan Lingga Yoni,Pura,"P54Q+54Q, Jl. Letnan Harun, Sukamajukidul, Kec. Indihiang, Kab. Tasikmalaya, Jawa Barat",,,,,Tidak Ada ,Tidak Tersedia,-7.2945371,108.1878481,Aksesibilitas Tersedia,[]
